implementation,batch_size,seq_len,d_model,dtype,causal,forward_mean_ms,forward_std_ms,backward_mean_ms,backward_std_ms,forward_peak_gib,backward_peak_gib,status,error
torch,4,128,32,float32,False,0.10574566622381099,0.02261177383792499,0.4656024662835989,0.03683429517278506,0.00872802734375,0.0172119140625,ok,
torch_compile,4,128,32,float32,False,0.1356022670127762,0.0188840395940013,0.5012401333563806,0.04582455636493368,0.0478515625,0.0482177734375,ok,
flash_triton,4,128,32,float32,False,0.10022026666168433,0.009495956714170051,0.4547094669154224,0.08606857811012882,0.016176223754882812,0.048404693603515625,ok,
torch,4,128,64,float32,False,0.1099675333534833,0.016890735096633584,0.4936251333371426,0.05543890665954026,0.0169677734375,0.017578125,ok,
torch_compile,4,128,64,float32,False,0.14962786735850386,0.014468903445526099,0.5680750000465196,0.1340081124232431,0.048095703125,0.048583984375,ok,
flash_triton,4,128,64,float32,False,0.0672821336290023,0.014060101290397073,0.455425866675796,0.06601213657028565,0.016481399536132812,0.048709869384765625,ok,
torch,4,128,128,float32,False,0.12956953311610656,0.027347993180463007,0.46757853391075815,0.04837115472864721,0.017578125,0.018310546875,ok,
torch_compile,4,128,128,float32,False,0.17595453367296918,0.02575326824668303,0.48920086677147384,0.0351626454238153,0.017333984375,0.01806640625,ok,
flash_triton,4,128,128,float32,False,0.05442600013338961,0.0025738652553367993,0.47363386596164975,0.1219549342636214,0.017091751098632812,0.018068313598632812,ok,
torch,4,256,32,float32,False,0.1360717333833842,0.017520448976938205,0.482396533091863,0.047968739265350946,0.0184326171875,0.0205078125,ok,
torch_compile,4,256,32,float32,False,0.31749746631248854,0.03140337920275476,0.5379888665629551,0.09652575581304221,0.0174560546875,0.0185546875,ok,
flash_triton,4,256,32,float32,False,0.08366640031454153,0.011068914471693066,0.5460150668416949,0.12943234547731192,0.016483306884765625,0.05164337158203125,ok,
torch,4,256,64,float32,False,0.15138419985305518,0.02685960654262341,0.4790682668196193,0.028914869644705774,0.01904296875,0.021240234375,ok,
torch_compile,4,256,64,float32,False,0.19426593329020156,0.025370240474804875,0.5575193337184222,0.07864434884073904,0.01806640625,0.019287109375,ok,
flash_triton,4,256,64,float32,False,0.06047046675424402,0.0012865596448950018,0.4799845997088899,0.027668221375918532,0.017093658447265625,0.02002716064453125,ok,
torch,4,256,128,float32,False,0.14298559981398284,0.024640016660055605,0.44884533344884403,0.043056262116056475,0.020263671875,0.022705078125,ok,
torch_compile,4,256,128,float32,False,0.2141660668712575,0.021578030968421404,0.5421242671824681,0.0269257821286044,0.019287109375,0.020751953125,ok,
flash_triton,4,256,128,float32,False,0.09289706673977587,0.017827781394209517,0.48365179924682405,0.06145881427750131,0.018314361572265625,0.02124786376953125,ok,
torch,4,512,32,float32,False,0.3047480672345652,0.039253370939692306,0.49889653334200074,0.022746217469715124,0.02490234375,0.032958984375,ok,
torch_compile,4,512,32,float32,False,0.23680686645093374,0.026065102249128305,0.5936865997985782,0.04884441798161707,0.02099609375,0.025146484375,ok,
flash_triton,4,512,32,float32,False,0.09164260069762047,0.018608673730504753,0.5469247330135355,0.02215211833669095,0.01709747314453125,0.0288238525390625,ok,
torch,4,512,64,float32,False,0.17018926688857997,0.017694563642918527,0.5212634666046748,0.12249774530732496,0.026123046875,0.034423828125,ok,
torch_compile,4,512,64,float32,False,0.2447159992395124,0.041209433676766244,0.5583235331869218,0.029470998595531695,0.022216796875,0.026611328125,ok,
flash_triton,4,512,64,float32,False,0.12405979990338285,0.03868461782836768,0.5838006004826942,0.0765583441604115,0.01831817626953125,0.0300445556640625,ok,
torch,4,512,128,float32,False,0.14752153292647563,0.019179116572328927,0.4864010001862577,0.04091200224164666,0.028564453125,0.037353515625,ok,
torch_compile,4,512,128,float32,False,0.2566171332243054,0.016672166380004825,0.620892000006279,0.08724876620139795,0.024658203125,0.029541015625,ok,
flash_triton,4,512,128,float32,False,0.1536312001311065,0.014004621824597921,0.5905690001479039,0.05190010307877841,0.02075958251953125,0.0324859619140625,ok,
torch,4,1024,32,float32,False,0.43933926669221063,0.109435821850599,1.4776067999870672,0.21839418652597298,0.049560546875,0.081298828125,ok,
torch_compile,4,1024,32,float32,False,0.454600000133117,0.04957482562737717,1.2024661996595871,0.16156008366168334,0.033935546875,0.050048828125,ok,
flash_triton,4,1024,32,float32,False,0.19029706624375345,0.01196151851024738,1.4069172667708092,0.24557861304388787,0.0183258056640625,0.065216064453125,ok,
torch,4,1024,64,float32,False,0.4447714673005976,0.025873293366756395,1.5231763332849368,0.2150666150218575,0.052001953125,0.084228515625,ok,
torch_compile,4,1024,64,float32,False,0.504168600552172,0.07577380080516236,1.2452216670984246,0.14537848348302354,0.036376953125,0.052978515625,ok,
flash_triton,4,1024,64,float32,False,0.18631100028869696,0.003632229081706202,1.3736676669698984,0.18248618544980932,0.0207672119140625,0.067657470703125,ok,
torch,4,1024,128,float32,False,0.527501999749802,0.1088705736858072,1.5697685994382482,0.10005656250446952,0.056884765625,0.090087890625,ok,
torch_compile,4,1024,128,float32,False,0.5126564666473618,0.004131956391531547,1.3356878005045776,0.1667785981747166,0.041259765625,0.058837890625,ok,
flash_triton,4,1024,128,float32,False,0.37216366714953136,0.00978777447716926,1.5449047326304328,0.10968703160570552,0.0256500244140625,0.072540283203125,ok,
torch,4,2048,32,float32,False,2.086280533694662,0.17820517301956776,6.745025467049952,0.3730406293739766,0.145751953125,0.271728515625,ok,
torch_compile,4,2048,32,float32,False,1.4996818662136018,0.11151750170488735,4.427576866388942,0.3816968368724954,0.083251953125,0.146728515625,ok,
flash_triton,4,2048,32,float32,False,0.4479871997318696,0.12442942825364346,5.089448732906021,0.27722695381508855,0.020782470703125,0.20831298828125,ok,
torch,4,2048,64,float32,False,2.3067659332203525,0.24349527674045857,6.948676466951535,0.24044366781334342,0.150634765625,0.277587890625,ok,
torch_compile,4,2048,64,float32,False,1.6901829340592183,0.2199501938568664,4.696412466485829,0.10366296858794646,0.088134765625,0.152587890625,ok,
flash_triton,4,2048,64,float32,False,0.49867800044012256,0.07154462546568066,4.886674066801788,0.2038054969933161,0.025665283203125,0.21319580078125,ok,
torch,4,2048,128,float32,False,2.681027532768591,0.33693534221908106,8.066856466272535,0.32241582988452844,0.160400390625,0.289306640625,ok,
torch_compile,4,2048,128,float32,False,2.0080156667972915,0.3088511054391146,5.521774132648716,0.3644401688579619,0.097900390625,0.164306640625,ok,
flash_triton,4,2048,128,float32,False,1.2554296668289073,0.19316799685738945,6.251851866545621,0.3265852608761987,0.035430908203125,0.22296142578125,ok,
